,Student,Employment,UndergradMajor,DevType,YearsCoding,YearsCodingProf,ConvertedSalary,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,LanguageWorkedWith,Gender,Age,RaceEthnicity
26905,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Data scientist or machine learning specialist,3-5 years,3-5 years,21916.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",One to three months,Java;Python;R;Scala;SQL;Bash/Shell,Male,25 - 34 years old,South Asian
26927,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer,18-20 years,9-11 years,58752.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Immediately after graduating,Java;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
26959,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Full-stack developer;System administrator,12-14 years,12-14 years,122000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,Male,45 - 54 years old,White or of European descent
26985,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Full-stack developer,15-17 years,18-20 years,96626.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Immediately after graduating,C#;Groovy;Java;JavaScript;Objective-C;Python;Ruby;SQL;TypeScript;VB.NET;HTML;CSS;Bash/Shell,Male,35 - 44 years old,Hispanic or Latino/Latina
27022,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer,15-17 years,12-14 years,178000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,C#;JavaScript;HTML;CSS,Male,35 - 44 years old,White or of European descent
27136,No,Employed full-time,Mathematics or statistics,Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Full-stack developer;Product manager,21-23 years,18-20 years,167652.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;F#;JavaScript;Objective-C;SQL;Swift;TypeScript;HTML;CSS,Male,45 - 54 years old,White or of European descent
27246,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer;System administrator,30 or more years,30 or more years,130000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,CoffeeScript;JavaScript;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,Male,45 - 54 years old,White or of European descent
27303,No,Employed full-time,"Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer;DevOps specialist;Full-stack developer,6-8 years,0-2 years,8352.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",One to three months,C;C++;C#;JavaScript;Matlab;Python;Ruby;SQL;VBA;Delphi/Object Pascal;HTML;CSS,Male,18 - 24 years old,White or of European descent
27316,No,Employed full-time,Mathematics or statistics,Back-end developer,9-11 years,6-8 years,55562.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
27317,"Yes, full-time",Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,9-11 years,6-8 years,187668.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",I haven’t gotten a developer job,C++;CoffeeScript;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,South Asian
27402,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Full-stack developer;System administrator,24-26 years,18-20 years,55075.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Less than a month,C;C++;C#;JavaScript;SQL;TypeScript;HTML;CSS,Male,45 - 54 years old,White or of European descent
27418,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;Data scientist or machine learning specialist,9-11 years,9-11 years,28176.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,Immediately after graduating,Java;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,South Asian
27434,No,Employed full-time,"A natural science (ex. biology, chemistry, physics)",Back-end developer;Database administrator;Front-end developer;Full-stack developer;Game or graphics developer,0-2 years,0-2 years,93000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",One to three months,C++;C#;Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Female,35 - 44 years old,White or of European descent
27477,No,Employed full-time,"Computer science, computer engineering, or software engineering",Front-end developer;Full-stack developer;QA or test developer,21-23 years,6-8 years,105324.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;R;TypeScript;HTML;CSS,Male,35 - 44 years old,Middle Eastern;White or of European descent
27574,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Embedded applications or devices developer;System administrator,3-5 years,3-5 years,65000.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course",Questions & answers on Stack Overflow,I already had a full-time job as a developer when I began the program,Python,Male,35 - 44 years old,White or of European descent
27584,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Front-end developer;Full-stack developer,30 or more years,30 or more years,119960.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,JavaScript;HTML;CSS;Bash/Shell,Male,55 - 64 years old,White or of European descent
27614,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;System administrator,27-29 years,15-17 years,118000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C#;F#;Java;JavaScript;PHP;SQL;VBA;Visual Basic 6;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
27649,No,Employed full-time,"Computer science, computer engineering, or software engineering",Mobile developer,12-14 years,0-2 years,10958.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Six months to a year,C;C++;Java;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,18 - 24 years old,South Asian
27674,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Back-end developer,0-2 years,0-2 years,48616.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",Less than a month,Ruby,Female,25 - 34 years old,White or of European descent
27707,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer,18-20 years,15-17 years,105180.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Groovy;Java;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
27714,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;Full-stack developer,9-11 years,3-5 years,110000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Groovy;Java;TypeScript,Male,25 - 34 years old,White or of European descent
27720,"Yes, full-time",Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer,6-8 years,3-5 years,9948.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;SQL;HTML;CSS,Male,25 - 34 years old,South Asian
27781,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst,15-17 years,3-5 years,13306.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",Longer than a year,SQL,Male,35 - 44 years old,South Asian
27818,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer,30 or more years,30 or more years,120000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Assembly;C;C++;C#;Delphi/Object Pascal,Male,45 - 54 years old,White or of European descent
27839,No,Employed full-time,"Computer science, computer engineering, or software engineering",Mobile developer,6-8 years,3-5 years,36720.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",Immediately after graduating,Objective-C;PHP;Swift,Male,25 - 34 years old,White or of European descent
27974,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Embedded applications or devices developer,30 or more years,27-29 years,190000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",I already had a full-time job as a developer when I began the program,Go;Python;SQL;Bash/Shell,Male,45 - 54 years old,White or of European descent
27985,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,59600.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;Objective-C;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
28003,No,Employed full-time,"Fine arts or performing arts (ex. graphic design, music, studio art)",Front-end developer,3-5 years,3-5 years,87000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",Four to six months,JavaScript;Python;HTML;CSS,Male,35 - 44 years old,White or of European descent
28101,No,Employed full-time,"Information systems, information technology, or system administration",Full-stack developer,27-29 years,21-23 years,72525.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,Groovy;Java;JavaScript;SQL;HTML;CSS,Male,35 - 44 years old,White or of European descent
28105,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Educator or academic researcher;Front-end developer;Full-stack developer,21-23 years,6-8 years,91791.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
28140,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Front-end developer;Full-stack developer,3-5 years,3-5 years,100400.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",One to three months,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
28163,"Yes, full-time",Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Desktop or enterprise applications developer;Full-stack developer;Mobile developer;Product manager,9-11 years,6-8 years,35492.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",I already had a full-time job as a developer when I began the program,Assembly;C;C++;C#;Go;Java;JavaScript;Lua;Objective-C;PHP;Python;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell,Male,18 - 24 years old,White or of European descent
28164,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;DevOps specialist,30 or more years,21-23 years,77786.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",Four to six months,C#;JavaScript;SQL,Male,35 - 44 years old,White or of European descent
28171,"Yes, part-time",Employed part-time,"A natural science (ex. biology, chemistry, physics)",Data scientist or machine learning specialist;Educator or academic researcher;System administrator,21-23 years,15-17 years,46992.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,Assembly;C;C++;Haskell;JavaScript;Julia;Python;SQL;Swift;Bash/Shell,Male,25 - 34 years old,White or of European descent
28174,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Full-stack developer,3-5 years,3-5 years,105000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",Immediately after graduating,JavaScript;PHP;Ruby;Scala;SQL;TypeScript;HTML;CSS,Female,25 - 34 years old,White or of European descent
28211,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer;System administrator,15-17 years,9-11 years,31309.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;Python;TypeScript;HTML;Bash/Shell,Male,25 - 34 years old,South Asian
28238,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Front-end developer,9-11 years,9-11 years,74885.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,JavaScript;Lua;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
28239,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Data or business analyst;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,24-26 years,21-23 years,29376.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C++;C#;Java;JavaScript;SQL;HTML;CSS,Male,45 - 54 years old,White or of European descent
28273,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer;Database administrator;Front-end developer;Full-stack developer,15-17 years,12-14 years,165000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Longer than a year,C#;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
28314,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;DevOps specialist;Full-stack developer,24-26 years,18-20 years,73428.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Immediately after graduating,Go;Groovy;Java;Rust;TypeScript;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
28325,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Engineering manager,3-5 years,3-5 years,145000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology",One to three months,Ruby,Female,25 - 34 years old,East Asian
28355,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;Data or business analyst;Database administrator;Full-stack developer;Student,3-5 years,0-2 years,20130.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",I haven’t gotten a developer job,JavaScript;VBA;HTML;CSS,Male,18 - 24 years old,White or of European descent
28369,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer,9-11 years,6-8 years,33972.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;The technology’s online help system",Four to six months,Groovy;Java;JavaScript;Scala;SQL;Kotlin;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
28380,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Front-end developer,3-5 years,0-2 years,8400.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,JavaScript;HTML;CSS,Female,25 - 34 years old,White or of European descent
